# Time-averaged data for fix ave_rg
# TimeStep Number-of-rows
# Row c_rg
1000 1
1 21.5393
2000 1
1 21.5106
3000 1
1 21.4961
4000 1
1 21.4843
5000 1
1 21.4718
6000 1
1 21.4469
7000 1
1 21.4205
8000 1
1 21.3874
9000 1
1 21.3535
10000 1
1 21.326
11000 1
1 21.3199
12000 1
1 21.3399
13000 1
1 21.3624
14000 1
1 21.3798
15000 1
1 21.3826
16000 1
1 21.3842
17000 1
1 21.3692
18000 1
1 21.3109
19000 1
1 21.2562
20000 1
1 21.2214
21000 1
1 21.1935
22000 1
1 21.182
23000 1
1 21.1757
24000 1
1 21.1618
25000 1
1 21.1523
26000 1
1 21.1505
27000 1
1 21.1411
28000 1
1 21.1324
29000 1
1 21.1361
30000 1
1 21.1399
31000 1
1 21.1287
32000 1
1 21.1208
33000 1
1 21.1059
34000 1
1 21.083
35000 1
1 21.0668
36000 1
1 21.0596
37000 1
1 21.0336
38000 1
1 21.0178
39000 1
1 21.0061
40000 1
1 20.9982
41000 1
1 20.9977
42000 1
1 20.9833
43000 1
1 20.9733
44000 1
1 20.9665
45000 1
1 20.9521
46000 1
1 20.9502
47000 1
1 20.9536
48000 1
1 20.9441
49000 1
1 20.9433
50000 1
1 20.9581
51000 1
1 20.9754
52000 1
1 21.0006
53000 1
1 21.0291
54000 1
1 21.0509
55000 1
1 21.0668
56000 1
1 21.0791
57000 1
1 21.0909
58000 1
1 21.1073
59000 1
1 21.1289
60000 1
1 21.1584
61000 1
1 21.1873
62000 1
1 21.2128
63000 1
1 21.2519
64000 1
1 21.2956
65000 1
1 21.3364
66000 1
1 21.3837
67000 1
1 21.4404
68000 1
1 21.4943
69000 1
1 21.5357
70000 1
1 21.5648
71000 1
1 21.589
72000 1
1 21.6116
73000 1
1 21.6226
74000 1
1 21.6119
75000 1
1 21.5971
76000 1
1 21.5973
77000 1
1 21.5941
78000 1
1 21.6018
79000 1
1 21.6072
80000 1
1 21.6049
81000 1
1 21.6031
82000 1
1 21.6059
83000 1
1 21.5993
84000 1
1 21.5882
85000 1
1 21.5636
86000 1
1 21.5562
87000 1
1 21.5762
88000 1
1 21.5969
89000 1
1 21.6102
90000 1
1 21.6218
91000 1
1 21.6366
92000 1
1 21.6525
93000 1
1 21.6715
94000 1
1 21.6928
95000 1
1 21.7151
96000 1
1 21.7584
97000 1
1 21.8051
98000 1
1 21.8447
99000 1
1 21.8861
100000 1
1 21.9451
101000 1
1 22.0076
102000 1
1 22.066
103000 1
1 22.1138
104000 1
1 22.1599
105000 1
1 22.2088
106000 1
1 22.2627
107000 1
1 22.3221
108000 1
1 22.3902
109000 1
1 22.4587
110000 1
1 22.5193
111000 1
1 22.5728
112000 1
1 22.625
113000 1
1 22.6633
114000 1
1 22.705
115000 1
1 22.7417
116000 1
1 22.7691
117000 1
1 22.788
