# Time-averaged data for fix ave1
# TimeStep v_Lx v_stress c_totPE
0 31.5 -0.131062 10367.1
100 31.5 -0.00314896 10290.1
200 31.5 0.00600225 10273.6
300 31.5 -0.00162833 10279.7
400 31.5 0.000728393 10278.8
500 31.5 -0.00513894 10292.3
600 31.5 -0.000738415 10280
700 31.5 -0.00256155 10265.8
800 31.5 0.00862616 10266.8
900 31.5 0.0127796 10251.5
1000 31.5 -0.0123175 10270.2
1100 31.5 -0.0154968 10279.6
1200 31.5 -0.0148724 10262.3
1300 31.5 0.0149413 10258.4
1400 31.5 -0.000726158 10249.6
1500 31.5 -0.0126771 10279.3
1600 31.5 0.0117333 10259.6
1700 31.5 -0.00425367 10237.5
1800 31.5 0.00889741 10248.2
1900 31.5 0.000295536 10259.1
2000 31.5 0.000816683 10252
2100 31.5 0.00798022 10240.5
2200 31.5 0.00700985 10265.5
2300 31.5 -0.0125043 10260.9
2400 31.5 -0.00852774 10267.5
2500 31.5 -0.000931575 10263.4
2600 31.5 -0.0118103 10244.5
2700 31.5 -0.0065034 10270
2800 31.5 -0.0074133 10245.2
2900 31.5 -0.00921193 10239.1
3000 31.5 -0.00726574 10262.2
3100 31.5 0.00397858 10260
3200 31.5 0.027768 10256
3300 31.5 -0.00114699 10262.8
3400 31.5 0.000487408 10274.1
3500 31.5 -0.00801006 10251.7
3600 31.5 0.00995156 10276.6
3700 31.5 0.00522613 10246.4
3800 31.5 -0.00863553 10268.1
3900 31.5 -0.00333429 10262.3
4000 31.5 -0.00584374 10256.6
4100 31.5 -0.00709841 10272.5
4200 31.5 0.0224429 10263.8
4300 31.5 -0.00591265 10246.8
4400 31.5 -0.0147998 10241.1
4500 31.5 0.00633288 10239.1
4600 31.5 0.000944198 10262.6
4700 31.5 -0.0211187 10259.6
4800 31.5 0.00737027 10274.1
4900 31.5 0.00211267 10263.2
5000 31.5 -0.0155005 10254.7
5100 30 0.00462001 10277.3
5200 30 0.000481696 10257.9
5300 30 -0.00333083 10261.8
5400 30 0.0107177 10265.7
5500 30 -0.00047817 10286.2
5600 30 0.00321544 10252
5700 30 -0.00477797 10251.6
5800 30 0.00100329 10289.4
5900 30 -0.00502996 10282.4
6000 30 0.00862594 10253.3
6100 30 0.0111359 10264.9
6200 30 0.00620962 10258.6
6300 30 -0.00616528 10252.1
6400 30 0.00432464 10295.4
6500 30 -0.00785629 10282.8
6600 30 0.00233038 10262
6700 30 0.0155658 10262.3
6800 30 0.0236105 10237.4
6900 30 1.411e-05 10268.1
7000 30 -0.0194997 10278.6
7100 30 -0.00291578 10236.6
7200 30 -0.00736352 10255.6
7300 30 0.0029134 10265
7400 30 -0.00754519 10252.9
7500 30 -0.0122308 10250.3
7600 30 0.0193124 10232.4
7700 30 0.00114109 10252.8
7800 30 0.00426736 10239.1
7900 30 -0.00403891 10249.9
8000 30 -0.00925779 10275.6
8100 30 -0.0169856 10222
8200 30 0.00221174 10218.3
8300 30 -0.015716 10229.1
8400 30 -0.00919542 10250
8500 30 0.00687519 10247.5
8600 30 -0.00227758 10242.7
8700 30 -0.0197211 10263.9
8800 30 -0.0203409 10249.5
8900 30 0.00448861 10252.6
9000 30 0.0130172 10243
9100 30 0.00483116 10226.8
9200 30 0.00630619 10223.5
9300 30 -0.00541288 10245.8
9400 30 0.0120782 10231.8
9500 30 -0.0212172 10248.8
9600 30 0.0111678 10239.9
9700 30 -0.0179371 10231.5
9800 30 -0.00566887 10244.9
9900 30 -0.00710646 10228.1
10000 30 0.0148056 10232.1
